tweet_id,keyword
1058288887741722624,timonazo
1058288887741722624,empresa
1058288887741722624,cmilanoticia
1059846153540419589,htdeviabog
1059846153540419589,eltiempo
1059846153540419589,transmilenio
1059942169513992192,pola?­tica
1059942169513992192,transmilenio
1059942169513992192,caballito
1059882164706336769,julioc
1059882164706336769,acosta
1059882164706336769,pcambioradical
1059882164706336769,manolitosalazar
1059882164706336769,transmilenio
1059887187792183296,diesel
1059887187792183296,faringea
1059887187792183296,transmilenio
1059797856511500288,transmilenio
1059797856511500288,pgn
1059797856511500288,col
1059797856511500288,palabra
1059797856511500288,matema?¡ticas
1059802588563038208,corrupcia?³n
1059802588563038208,nexos
1059802588563038208,gerente
1059932600733700096,yazmincilla
1059932600733700096,bluradioco
1059892192561561600,licitacia?³n
1059892192561561600,congresista
1059892192561561600,transmilenio
1059833393402273793,transmilenio
1059833393402273793,cra?­ticas
1059833393402273793,buses
1059833393402273793,tecnologa?­as
1059833393402273793,dia?©sel
1059833393402273793,ciudad
1059956538167701506,puerta
1059956538167701506,parte
1059956538167701506,pm
1059956538167701506,transmilenio
1059956538167701506,k86
1059956538167701506,hpta
1059790777751126016,bocarejo
1059790777751126016,jp
1059790777751126016,sectormovilidad
1059790777751126016,enriquepenalosa
1059790777751126016,bogota
1059817719418286080,mejia
1059817719418286080,enriquepenalosa
1059817719418286080,transmilenio
1059817719418286080,amiguito
1059817719418286080,pauliina
1059817719418286080,danielsampero
1059862303934418944,mapas
1059862303934418944,subete
1059862303934418944,ruta
1059744148905959424,flota
1059744148905959424,licitacia?³n
1059744148905959424,ii
1059744148905959424,renovacia?³n
1059744148905959424,lotes
1059929352224301056,transmilenio
1059929352224301056,contaminacia?³n
1057663380612362240,recursos
1057663380612362240,siganos
1057663380612362240,facebook
1057663380612362240,yosoydesoacha
1059616676889718784,bocarejo
1059616676889718784,jp
1059616676889718784,enriquepenalosa
1059940774740221952,enriquepenalosa
1059940774740221952,idubogota
1059940774740221952,sectormovilidad
1059940774740221952,transmilenio
1059857788514586627,aire
1059857788514586627,mierd
1059857788514586627,verdad
1059857788514586627,bogota?¡
1059857788514586627,gas
1059857788514586627,transmilenio
1059790988430983169,vargassilvamv
1059790988430983169,transmilenio
1059592562762223617,culpa
1059592562762223617,sera
1059592562762223617,oligarqua?­a
1059592562762223617,transmilenio
1059592562762223617,opinion
1059592562762223617,usa
1059592562762223617,segun
